accountNo,firstName,lastName,city,state,cardmemberSince
2511793,Garner,Hulcoop,Tallahassee,Florida,2007
5924463,Felicia,Pockey,Portsmouth,Virginia,1992
1884062,Milena,Seeking,Mount Vernon,New York,2011
0763378,Bondon,Redfearn,Denton,Texas,1998
1869776,Darryl,Bryenton,Tulsa,Oklahoma,2000
3888659,Anne-marie,Penniell,Seattle,Washington,2008
8288638,Ardys,Narbett,Milwaukee,Wisconsin,1992
4557918,Grover,Colquitt,Glendale,California,1995
0800988,Sharla,Luxon,Shawnee Mission,Kansas,2008
5744932,Ariel,Blincoe,New Orleans,Louisiana,2011
1144342,Jessi,Crawford,Fort Worth,Texas,2008
2579869,Jarad,Wong,Saint Louis,Missouri,2005
9027513,Denice,Simonnot,Trenton,New Jersey,2004
7918165,Taylor,Garforth,Washington,District of Columbia,2010
4343647,Burke,Langcastle,Memphis,Tennessee,1998
8547387,Vilma,Farndell,Philadelphia,Pennsylvania,2005
5903689,Odo,Barreau,El Paso,Texas,2010
0591710,Jordanna,Turbard,Henderson,Nevada,2011
6546646,Yolanthe,Ablitt,Harrisburg,Pennsylvania,2003
6203220,Alvan,MacUchadair,Washington,District of Columbia,2012
0339201,Lucy,Brosi,Fresno,California,2010
6203522,Gennie,Cumberledge,Birmingham,Alabama,2000
2203489,Rafi,Hamelyn,Oakland,California,2000
5734898,Otes,Mackin,Tallahassee,Florida,1987
6264398,Hersh,Trumper,Raleigh,North Carolina,1993
9670561,Garrett,Talbot,Washington,District of Columbia,2005
4990530,Aristotle,Robilart,Kent,Washington,2001
7934507,Shandra,Bromige,Trenton,New Jersey,1999
5352766,Drucie,Macallam,Nashville,Tennessee,2004
5664305,Matteo,Archdeacon,Scottsdale,Arizona,2003
2624872,Joell,Housley,Springfield,Massachusetts,2011
9584181,Nadya,Hugenin,Boston,Massachusetts,2007
5579887,Orelie,Crichmer,Spring,Texas,2006
1175507,Adi,Grubb,Fargo,North Dakota,2009
7779334,Justina,Loadwick,Sarasota,Florida,1995
8623746,Karyn,Vannikov,Terre Haute,Indiana,2001
